ChngClass,IDR,IMP_AUD,IMP_BSESN,IMP_BZ,IMP_CL,IMP_CNY,IMP_EUR,IMP_FTSE,IMP_GBP,IMP_GC,IMP_HKD,IMP_HSI,IMP_IXIC,IMP_JPY,IMP_KC,IMP_KLSE,IMP_LB,IMP_N100,IMP_N225,IMP_NG,IMP_PL,IMP_SGD,IMP_SI,IMP_SS,IMP_THB,IMP_USD,MarketCap,Volume,Posts,Polarity
Positive,3463.4284767,0.3461017832,38102.34,69.71425,61.8385,1.6433651429,0.2153995019,7308.9054545,0.1853380533,1295.6925,1.9231927925,29391.804697,7780.3812121,27.416395258,93.77625,1656.5266667,357.8875,1050.4521212,21673.142727,2.674875,876.37,0.3320020638,15.12875,3124.709697,7.7950605478,0.2450446207,502,173447,0,0
Positive,3464.2395411,0.3468042952,36063.81,69.71425,61.8385,1.6456991238,0.2158116456,7106.73,0.1859658532,1295.6925,1.9261279138,28812.17,7595.35,27.4634305,93.77625,1700.76,357.8875,1025.26,21602.69,2.674875,876.37,0.3325976659,15.12875,2994,7.8106912882,0.2454296615,502,173447,0,0
Positive,3464.3873323,0.3468106636,36063.81,69.71425,61.8385,1.6460440995,0.2158631833,7106.73,0.185837744,1295.6925,1.9264190705,28812.17,7595.35,27.47835057,93.77625,1700.76,357.8875,1025.26,21602.69,2.674875,876.37,0.3376289459,15.12875,2994,7.8097515106,0.2454401258,502,173447,0,0
Positive,3464.7320794,0.3460830825,36063.81,69.71425,61.8385,1.6440071774,0.2163847439,7143.03,0.1859069272,1295.6925,1.9239606148,28959.59,7615.92,27.375089721,93.77625,1693.99,357.8875,1030.21,21822.04,2.674875,876.37,0.3320749376,15.12875,3027.58,7.8122982173,0.2451233601,594,760792,0,0
Positive,3464.7320794,0.3460830825,36063.81,69.71425,61.8385,1.6440071774,0.2163847439,7143.03,0.1859069272,1295.6925,1.9239606148,28959.59,7615.92,27.375089721,93.77625,1693.99,357.8875,1030.21,21822.04,2.674875,876.37,0.3320749376,15.12875,3027.58,7.8122982173,0.2451233601,594,760792,0,0.5267
Negative,3461.4590717,0.3463133038,36442.54,69.71425,61.8385,1.6429088517,0.2167965421,7160.27,0.1864103668,1295.6925,1.922766819,28961.6,7577.57,27.430897678,93.77625,1685.62,357.8875,1024.81,21726.28,2.674875,876.37,0.3323298994,15.12875,3054.25,7.7875325041,0.2449469795,573,485432,0,0
Positive,3460.563253,0.3483512452,36636.1,69.71425,61.8385,1.6418555217,0.2161255901,7202.37,0.186052328,1295.6925,1.9203448845,29037.6,7576.36,27.318457568,93.77625,1686.82,357.8875,1026.48,21596.81,2.674875,876.37,0.3320915452,15.12875,3102.1,7.7931297706,0.2446324315,598,278885,0,0
Negative,3468.6382206,0.3475809899,36725.42,69.71425,61.8385,1.6413587368,0.2180425793,7181.77,0.1865685929,1295.6925,1.9187558952,28779.449,7505.92,27.280805239,93.77625,1686.95,357.8875,1022.04,21456.01,2.674875,876.37,0.3323702455,15.12875,3106.42,7.7864323191,0.2444351167,594,199967,0,0
Negative,3500.0849836,0.3470607093,36671.43,69.71425,61.8385,1.6443563344,0.2176003055,7089.96,0.1879403102,1295.6925,1.9204415908,28228.42,7421.46,27.186267991,93.77625,1679.9,357.8875,1015.25,21025.56,2.674875,876.37,0.3323738488,15.12875,2969.86,7.7649208542,0.2446422859,590,127363,0,0
Negative,3444.7976724,0.347001371,38102.34,69.71425,61.8385,1.6450136233,0.2177834632,7308.9054545,0.1879976025,1295.6925,1.9209272197,29391.804697,7780.3812121,27.204270114,93.77625,1656.5266667,357.8875,1050.4521212,21673.142727,2.674875,876.37,0.3325812693,15.12875,3124.709697,7.7648611465,0.2447193762,590,127363,0,0
Negative,3477.3399437,0.347264123,38102.34,69.71425,61.8385,1.6446335069,0.217754779,7308.9054545,0.187984446,1295.6925,1.9207475348,29391.804697,7780.3812121,27.191899058,93.77625,1656.5266667,357.8875,1050.4521212,21673.142727,2.674875,876.37,0.3365208315,15.12875,3124.709697,7.7649033652,0.244681773,590,127363,0,0
Positive,3493.6880261,0.3466135969,38102.34,66.59,56.81,1.6449355882,0.2178456664,7308.9054545,0.1867837266,1293.5,1.919633924,29391.804697,7780.3812121,27.195652609,97.65,1656.5266667,405.2,1050.4521212,21673.142727,2.767,812.1,0.3323708259,15.3,3124.709697,7.7517455492,0.2445558019,619,878985,0,0
Negative,3488.2823524,0.3456989895,38102.34,69.71425,61.8385,1.6426643079,0.217123413,7308.9054545,0.1868898595,1295.6925,1.9220104006,29391.804697,7780.3812121,27.263845371,93.77625,1656.5266667,357.8875,1050.4521212,21673.142727,2.674875,876.37,0.3320159454,15.12875,3124.709697,7.7560146871,0.2448467719,615,193705,0,0
Negative,3487.1304493,0.345213115,37752.17,69.71425,61.8385,1.6402954312,0.2162378007,7159.06,0.1849624785,1295.6925,1.9198474363,28807.449,7591.03,27.207041746,93.77625,1678.24,357.8875,1025.49,21290.24,2.674875,876.37,0.3310895017,15.12875,3026.95,7.7286877484,0.244576387,598,87165,0,0
Positive,3489.4081818,0.3462289045,38102.34,69.71425,61.8385,1.6431855866,0.2162019938,7308.9054545,0.1840676246,1295.6925,1.9187535603,29391.804697,7780.3812121,27.300865722,93.77625,1656.5266667,357.8875,1050.4521212,21673.142727,2.674875,876.37,0.3313660417,15.12875,3124.709697,7.7681394228,0.244430781,607,292002,0,0
Positive,3487.168912,0.345461391,38024.32,69.71425,61.8385,1.6442373644,0.2161676101,7230.43,0.1844160385,1295.6925,1.9221547432,29012.26,7630.91,27.315234612,93.77625,1680.54,357.8875,1045.47,21450.85,2.674875,876.37,0.3312985164,15.12875,3021.75,7.7616052022,0.2448835276,644,634784,0,0
